station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
4142,Barry St & Tiffany St,7844.05,-73.891559,40.816126,71,"CREDITCARD,KEY",19,false,0,0,19,0,true,true,true,false,2021-07-18T00:00:00
4167,Grand Concourse & East Mount Eden Ave,8265.09,-73.91172,40.84301,71,"CREDITCARD,KEY",19,false,0,2,17,0,true,true,true,false,2021-07-19T00:00:00
4189,Grant Ave & E 169 St,8141.01,-73.913741,40.83579,71,"CREDITCARD,KEY",19,false,0,0,19,0,true,true,true,false,2021-07-18T00:00:00
4265,49 St & 31 Ave,6662.01,-73.909831,40.758057,71,"CREDITCARD,KEY",19,false,0,1,18,0,true,true,true,false,2021-07-19T00:00:00
4553,Andrew Ave N & Hall of Fame Tce,8520.01,-73.91008,40.85834,71,"CREDITCARD,KEY",19,false,0,0,19,0,true,true,true,false,2021-07-18T00:00:00
4580,Goulden Ave & W 205 St,8799.01,-73.89192,40.87812,71,"CREDITCARD,KEY",19,false,0,0,19,0,true,true,true,false,2021-07-18T00:00:00
4609,Paul Ave & W 205 St,8782.01,-73.88943,40.87704,71,"CREDITCARD,KEY",19,false,0,0,19,0,true,true,true,false,2021-07-18T00:00:00
4611,E Mosholu Pkwy & E 204 St,8748.02,-73.8833650931,40.8740704,71,"CREDITCARD,KEY",19,false,0,2,17,0,true,true,true,false,2021-07-18T00:00:00
4083,Walton Ave & E 168 St,8179.03,-73.918316,40.83649,71,"CREDITCARD,KEY",20,false,0,1,19,0,true,true,true,false,2021-07-18T00:00:00
4604,Jerome Ave & W 184 St,8550.01,-73.902541,40.860814,71,"CREDITCARD,KEY",20,false,0,0,20,0,true,true,true,false,2021-07-18T00:00:00
4628,Aqueduct Ave & W 190 St,8605.06,-73.9024238,40.8649213,71,"CREDITCARD,KEY",20,false,0,9,0,11,true,true,true,false,2021-07-19T00:00:00
3765,Bushwick Ave & Stagg St,5140.06,-73.94008,40.709897,71,"CREDITCARD,KEY",21,false,0,0,21,0,true,true,true,false,2021-07-18T00:00:00
4437,Broadway & W 185 St,8416.07,-73.93441,40.852538,71,"CREDITCARD,KEY",21,false,0,0,21,0,true,true,true,false,2021-07-19T00:00:00
